nodeID1	nodeID2	weight
53	22	0.08188288246555513
53	55	0.13250756284569368
53	57	0.12381792696099934
53	59	0.23746587151217102
53	36	0.08840045610596482
53	5	0.0807417260586278
53	13	0.09793087997435894
53	52	0.103001537338181
53	50	0.10747680401210917
53	51	0.11715959229121857
53	58	0.1338512886157931
53	47	0.11690672133347754
53	15	0.08925601667180097
53	42	0.08190574954692043
53	62	0.09182411093080069
53	49	0.11242501438185407
53	17	0.07649311190168753
53	46	0.07971635852006992
53	34	0.09051269031157749
53	41	0.08646686366561447
53	45	0.07969086403333128
53	43	0.08338347532366439
53	16	0.11137793774907556
53	9	0.07568886441967508
53	56	0.0849357783483875
53	6	0.08151419103877579
53	40	0.08062870496261634
53	44	0.08123849564288578
53	7	0.07883385528721966
53	23	0.08155082583051494
53	63	0.10972456359842248
53	38	0.0942521881621477
53	54	0.0954671859266303
53	35	0.08102675716794312
53	26	0.08454859199513133
53	27	0.09001278483735786
53	60	0.5479124258954337
53	18	0.07842857080232202
53	12	0.10597022254409375
53	37	0.08943411183924464
53	8	0.07599652478575462
53	48	0.10629607897446568
53	61	0.09556757204053737
53	65	0.17035075392723573
53	4	0.07746612893667174
22	59	0.0905821016359787
22	20	0.06723566630870981
22	54	0.0888605261238975
22	56	0.09092721403790502
22	23	0.08931777633859621
22	21	0.0785563710530416
22	19	0.0723089334261244
22	60	0.07893323501241142
22	12	0.08332661894666347
22	24	0.07365784661535427
22	13	0.08341240904340383
54	50	0.07171369554802441
54	49	0.08234988805223158
54	55	0.07983177399521559
54	23	0.08352391917582636
54	58	0.0715928997216746
54	15	0.07336660784976906
54	38	0.07357156881962561
54	13	0.119268346870322
54	61	0.0773084136105514
54	48	0.07367160190783163
54	47	0.07142194147943894
54	56	0.10434050679261896
54	57	0.070249470691618
54	59	0.10857572610263545
54	16	0.07800447453299628
54	12	0.10857516435579088
54	63	0.07575984633360809
54	39	0.06395385685103744
54	60	0.09153326555257166
54	17	0.06540266178939982
54	27	0.08092833103718969
54	51	0.07983508541478722
54	24	0.07592370292772893
54	52	0.07842561708758632
54	26	0.07093549186148591
50	51	0.10586338487428229
50	59	0.10860293996319355
50	15	0.07208200719142702
50	48	0.10233443891891829
50	58	0.07438816591613671
50	20	0.06350734617189206
50	61	0.0689028173485579
50	38	0.07730692608444643
50	55	0.130578730970872
50	5	0.06551043546515133
50	63	0.07296302398312296
50	52	0.08342646140445004
50	56	0.06589112472396705
50	47	0.09399575870965685
50	60	0.10152863238785702
50	65	0.08576636753786838
50	18	0.06435744541100204
50	57	0.08460570230673384
50	37	0.07338773177412483
50	49	0.07593273115909711
50	27	0.07054428388329263
50	26	0.06863535091472094
50	7	0.06387314810838986
50	34	0.07861893928777401
55	17	0.06873390174410407
55	45	0.07220733866830308
55	35	0.07355831050139418
55	51	0.11477904267370449
55	26	0.07527119958998227
55	46	0.07211379375209682
55	47	0.12568786999594053
55	37	0.08058963755650866
55	48	0.10780730465541892
55	15	0.07933812736495327
55	42	0.07474637171907769
55	57	0.10298377039361215
55	63	0.08232490391734658
55	40	0.07375530121315844
55	44	0.07324407276862713
55	27	0.07796227288394744
55	52	0.09250874606958123
55	34	0.08536512967125677
55	58	0.08486263198382847
55	59	0.13140654655928483
55	62	0.07589000427031996
55	6	0.07265266107461991
55	36	0.08204987432352293
55	43	0.07486932256615882
55	49	0.08588074968966834
55	60	0.1233370185161806
55	61	0.07683947837144418
55	18	0.07020397942765869
55	56	0.0726258866176846
55	38	0.08513026456949944
55	41	0.07786607571951994
55	65	0.10217833307578895
55	13	0.08111713393021615
63	49	0.10550981072341065
63	61	0.0832696385438327
63	59	0.15684341977620692
63	12	0.08392083438800496
63	65	0.08130723562965902
63	56	0.0685725055807012
63	57	0.07424944360333806
63	60	0.10546019399653377
63	13	0.07794489839890598
63	38	0.07021634950716495
63	47	0.07434755425518479
63	58	0.08396123654825079
63	64	0.07628310168070597
63	62	0.07587692140467112
63	36	0.06626093442533829
63	52	0.07483630248015588
63	51	0.07939700434043014
49	47	0.07698077132334559
49	60	0.1076165319488873
49	58	0.08361827755032462
49	12	0.09329572693577255
49	62	0.08437977614164506
49	56	0.0736939615991085
49	18	0.06521561221328039
49	48	0.07709931244637382
49	61	0.10134305936756245
49	65	0.08347184621882431
49	51	0.08338576847603042
49	26	0.0691993007171972
49	59	0.14875270736789642
49	20	0.06676341728224551
49	52	0.07898168631793549
49	34	0.07001258639219933
49	37	0.07127397847323512
49	13	0.08535801245461529
49	28	0.06713728978170289
49	57	0.07653476354925681
49	27	0.07460776345009834
15	40	0.07608556114442457
15	14	0.12522841252420422
15	11	0.07788274176120155
15	56	0.0679365264763706
15	5	0.07962790465026386
15	41	0.09097681574614484
15	13	0.07357422417004544
15	45	0.08641922176712666
15	43	0.11056528132884964
15	12	0.0765554982590676
15	44	0.09775697343265295
15	37	0.08874388817290937
15	46	0.0902334779895942
15	47	0.07024832243656352
15	59	0.096167393417568
15	52	0.09237428062279351
15	3	0.1961505035045738
15	27	0.0790619839248178
15	42	0.0778692306763753
15	26	0.1019106059163388
15	10	0.07653036291843436
15	38	0.08703020173569127
15	6	0.0884801535106025
15	7	0.07337768093619157
15	48	0.07565070474768695
15	18	0.08525890359337332
15	2	0.1143586706825857
15	39	0.06775301407512922
15	17	0.0861004075015469
15	35	0.0825250258446645
15	51	0.08310022287125955
40	29	0.07331702856335642
40	35	0.080907459636457
40	51	0.079035497581969
40	45	0.07470622665442427
40	46	0.07312223951248308
40	38	0.13680389364282197
40	33	0.0738221140382686
40	42	0.12116812763679753
40	31	0.08062611069819034
40	6	0.06703800030273861
40	32	0.07756083301068406
40	16	0.07870515116864055
40	44	0.07304983667447346
40	41	0.08303430370786248
40	30	0.071278390722391
40	34	0.07137997159282239
40	36	0.07541789189903597
40	52	0.11757345006030256
27	19	0.08500417851971515
27	7	0.0875923350030127
27	59	0.09890119449978323
27	24	0.08144675174732526
27	13	0.08011305717906476
27	16	0.07802145862779629
27	60	0.0863692851114519
27	26	0.07751008651153538
27	20	0.25501184438332886
27	38	0.07611304685247532
