1.123076923076922995e+01	5.000000000000000000e-01	5.000000000000000000e-01	9.358788475976872405e+02
1.347692307692307523e+01	5.979999999999999760e-01	4.199999999999999845e-01	8.814353371078179862e+02
1.347508259611527848e+01	5.691455146531368969e-01	4.862484404256049442e-01	8.739878094179183563e+02
1.403392285371448622e+01	5.865524816092578808e-01	4.694628422051257410e-01	8.708415421933328844e+02
1.416977382574546596e+01	5.808071636676027660e-01	4.871217294984304669e-01	8.697225749981826084e+02
1.439268342624110808e+01	5.841780419051829654e-01	4.880251746464604468e-01	8.691305414697194465e+02
1.452291695209077815e+01	5.838041706237611095e-01	4.942017500201627001e-01	8.687652954297710721e+02
1.464887307342773148e+01	5.849014536113177343e-01	4.971504020997005169e-01	8.685198796946809807e+02
1.474618375108541279e+01	5.854431252326390833e-01	5.004854510136452772e-01	8.683480281042654951e+02
1.483093578143715696e+01	5.861862926821042041e-01	5.030082656867903568e-01	8.682244486041989830e+02
1.490192959284818031e+01	5.868335613114847860e-01	5.053042647469844217e-01	8.681338075906926406e+02
1.496316568915398548e+01	5.874834928562864267e-01	5.072531427253249570e-01	8.680662601239573632e+02
1.501586859986970168e+01	5.880920440085676271e-01	5.089724724074479179e-01	8.680152569419624342e+02
1.506166848295166716e+01	5.886699084575512941e-01	5.104762388201489198e-01	8.679763195633057649e+02
1.510160772895194192e+01	5.892102882078887882e-01	5.118042913002757155e-01	8.679463156726817488e+02
1.513661196567787570e+01	5.897144193611519869e-01	5.129785153574881740e-01	8.679230117802965196e+02
1.516740035119710939e+01	5.901819976004426538e-01	5.140206986063192707e-01	8.679047885935044633e+02
1.519457435415909963e+01	5.906142215685747932e-01	5.149476351962966048e-01	8.678904550208807223e+02
1.521862797541400170e+01	5.910124274844483772e-01	5.157739397709009133e-01	8.678791238288793011e+02
1.523997522116743930e+01	5.913783458865232712e-01	5.165118471203374861e-01	8.678701267994499631e+02
1.525896397883444244e+01	5.917138402805375286e-01	5.171718814951821175e-01	8.678629557787348858e+02
1.527588920657488458e+01	5.920208699804795360e-01	5.177630811219650075e-01	8.678572210408656247e+02
1.529100233957735888e+01	5.923014082068883690e-01	5.182932775519719648e-01	8.678526214457588139e+02
1.530451900901384654e+01	5.925574019908825818e-01	5.187692810386600462e-01	8.678489227648980204e+02
1.531662507302985965e+01	5.927907377633333530e-01	5.191970423588038175e-01	8.678459417502904216e+02
1.532748149307209395e+01	5.930032204145316843e-01	5.195817798250811359e-01	8.678435342978677909e+02
1.533722826492804359e+01	5.931965593704056072e-01	5.199280850844594237e-01	8.678415865670582434e+02
